filename,vial_ind,vial_conf,vial_bbox_x1y1_x2y2,phase_ind,phase_name,phase_score,phase_conf,phase_bbox_x1y1_x2y2,flag
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,1,0.5925916433334351,"(1013, 1137, 1241, 1619)",3,20% St,4,0.923918604850769,"(1019, 1416, 1234, 1610)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,2,0.9457775354385376,"(1325, 1135, 1550, 1610)",3,20% St,4,0.8649581670761108,"(1331, 1407, 1547, 1597)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,3,0.943716824054718,"(1619, 1137, 1832, 1610)",4,Tt,5,0.5203162431716919,"(1618, 1407, 1828, 1599)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,4,0.963826060295105,"(1902, 1137, 2109, 1607)",-1,Null,-1,0.0,,No phase detected!
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,5,0.9644445776939392,"(2202, 1139, 2409, 1610)",5,NS,6,0.7433708310127258,"(2203, 1408, 2407, 1601)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 1-6.jpg,6,0.9584437012672424,"(2501, 1140, 2728, 1625)",5,NS,6,0.8648555874824524,"(2501, 1401, 2718, 1615)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,1,0.9491379261016846,"(868, 1165, 1116, 1647)",1,Broken cream,2,0.4759021997451782,"(873, 1431, 1109, 1642)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,2,0.9526039958000183,"(1232, 1167, 1472, 1654)",1,Broken cream,2,0.8173164129257202,"(1240, 1452, 1471, 1646)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,3,0.9689283967018127,"(1565, 1173, 1789, 1656)",1,Broken cream,2,0.9012051820755005,"(1569, 1450, 1787, 1653)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,4,0.9672382473945618,"(1853, 1178, 2074, 1656)",3,20% St,4,0.9376609921455383,"(1855, 1445, 2070, 1649)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,5,0.9520094990730286,"(2196, 1179, 2425, 1664)",3,20% St,4,0.9158048033714294,"(2195, 1452, 2415, 1658)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 13-18.jpg,6,0.9560692310333252,"(2514, 1182, 2749, 1668)",1,Broken cream,2,0.9167325496673584,"(2516, 1452, 2747, 1667)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,1,0.8996207118034363,"(965, 1150, 1190, 1612)",3,20% St,4,0.8926752805709839,"(968, 1394, 1185, 1606)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,2,0.9563575387001038,"(1292, 1150, 1514, 1620)",3,20% St,4,0.9431540966033936,"(1302, 1416, 1512, 1613)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,3,0.6152875423431396,"(1613, 1157, 1819, 1628)",-1,Null,-1,0.0,,No phase detected!
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,4,0.9510594606399536,"(1921, 1166, 2124, 1634)",4,Tt,5,0.962123453617096,"(1920, 1411, 2118, 1630)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,5,0.9497490525245667,"(2214, 1165, 2422, 1639)",5,NS,6,0.522983193397522,"(2216, 1421, 2420, 1638)",
Aracel 165 (RB) emulsions day 1 Squalane only samples 7-12.jpg,6,0.9512125253677368,"(2501, 1166, 2727, 1649)",5,NS,6,0.6094225645065308,"(2505, 1419, 2723, 1647)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,1,0.948136031627655,"(1030, 1452, 1264, 1935)",3,20% St,4,0.8470032215118408,"(1032, 1707, 1261, 1929)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,2,0.9459580183029175,"(1311, 1443, 1535, 1927)",3,20% St,4,0.841090977191925,"(1312, 1708, 1533, 1921)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,3,0.9514546990394592,"(1592, 1432, 1812, 1915)",3,20% St,4,0.9166693687438965,"(1591, 1708, 1806, 1914)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,4,0.9548722505569458,"(1828, 1435, 2047, 1918)",3,20% St,4,0.8023549318313599,"(1829, 1711, 2048, 1914)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,5,0.9539185166358948,"(2119, 1427, 2336, 1916)",4,Tt,5,0.8736743927001953,"(2120, 1704, 2336, 1911)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 1-6.jpg,6,0.9527027606964111,"(2415, 1420, 2644, 1916)",3,20% St,4,0.8350204825401306,"(2420, 1700, 2640, 1909)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,1,0.9577350616455078,"(965, 1497, 1205, 2007)",1,Broken cream,2,0.7811535000801086,"(967, 1785, 1201, 2000)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,2,0.9500927925109863,"(1321, 1487, 1547, 1988)",1,Broken cream,2,0.8788470029830933,"(1324, 1770, 1544, 1979)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,3,0.924256443977356,"(1672, 1479, 1895, 1986)",1,Broken cream,2,0.856769323348999,"(1680, 1772, 1889, 1975)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,4,0.9669859409332275,"(1967, 1467, 2187, 1970)",3,20% St,4,0.7201390266418457,"(1970, 1760, 2187, 1962)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,5,0.9541225433349609,"(2277, 1467, 2500, 1965)",3,20% St,4,0.7948957681655884,"(2280, 1753, 2497, 1959)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 13-18.jpg,6,0.9584872722625732,"(2593, 1462, 2834, 1969)",-1,Null,-1,0.0,,No phase detected!
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,1,0.9650483131408691,"(988, 1474, 1227, 1958)",3,20% St,4,0.729936957359314,"(990, 1743, 1218, 1954)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,2,0.9493669271469116,"(1329, 1463, 1562, 1956)",3,20% St,4,0.815926194190979,"(1325, 1717, 1559, 1954)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,3,0.9443584680557251,"(1643, 1459, 1880, 1946)",-1,Null,-1,0.0,,No phase detected!
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,4,0.9681305289268494,"(1942, 1454, 2160, 1945)",4,Tt,5,0.8465767502784729,"(1943, 1739, 2159, 1944)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,5,0.9636133909225464,"(2246, 1452, 2462, 1939)",4,Tt,5,0.8591431975364685,"(2253, 1736, 2462, 1936)",
Arlacel 165 (RB) in squalane emulsions day 7 50deg samples 7-12.jpg,6,0.9637197256088257,"(2534, 1444, 2767, 1946)",4,Tt,5,0.6039367914199829,"(2545, 1735, 2766, 1941)",
