epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54171,0.72371,3.44235,0.00209,0.93616,0.14583,0.12691,0.11645,0.52187,3.90979,0.00222,0.00018,0.00018,0.00018
2,10.5437,0.70246,2.53975,0.00203,0.86957,0.24906,0.24658,0.20568,0.68622,2.13984,0.0029,0.00036939,0.00036939,0.00036939
3,14.4427,0.78657,2.06535,0.00222,0.91688,0.24987,0.30066,0.25149,0.68381,2.31112,0.00298,0.000558152,0.000558152,0.000558152
4,18.0975,0.77215,2.12409,0.00204,0.91688,0.24987,0.30066,0.25149,0.68381,2.31112,0.00298,0.000746287,0.000746287,0.000746287
5,21.8203,0.9102,2.1159,0.00295,0.68613,0.28177,0.31678,0.25246,0.77524,2.94561,0.00347,0.000933796,0.000933796,0.000933796
6,26.1315,1.00837,1.83104,0.00308,0.8119,0.37161,0.39652,0.2913,0.86363,1.7253,0.00424,0.00099175,0.00099175,0.00099175
7,30.3354,1.02306,1.68923,0.00334,0.8119,0.37161,0.39652,0.2913,0.86363,1.7253,0.00424,0.0009901,0.0009901,0.0009901
8,34.1763,0.97358,1.56111,0.00301,0.44015,0.59208,0.41951,0.32301,0.77745,1.45401,0.00376,0.00098845,0.00098845,0.00098845
9,37.8761,0.95536,1.35181,0.00311,0.44015,0.59208,0.41951,0.32301,0.77745,1.45401,0.00376,0.0009868,0.0009868,0.0009868
10,41.5657,0.83303,1.32397,0.00268,0.46797,0.71194,0.45738,0.37614,0.6958,1.39672,0.00327,0.00098515,0.00098515,0.00098515
11,45.2793,0.79805,1.27729,0.00237,0.54618,0.69267,0.53589,0.41973,0.78609,1.31028,0.00345,0.0009835,0.0009835,0.0009835
12,48.7948,0.90231,1.26743,0.00285,0.54618,0.69267,0.53589,0.41973,0.78609,1.31028,0.00345,0.00098185,0.00098185,0.00098185
13,52.5054,0.87602,1.27354,0.00283,0.34858,0.74469,0.49388,0.39591,0.74604,1.05404,0.0033,0.0009802,0.0009802,0.0009802
14,56.2382,0.86237,1.11332,0.00268,0.34858,0.74469,0.49388,0.39591,0.74604,1.05404,0.0033,0.00097855,0.00097855,0.00097855
15,59.9221,0.75447,0.97945,0.00244,0.3919,0.77169,0.58778,0.50148,0.56701,0.90108,0.00255,0.0009769,0.0009769,0.0009769
16,63.5134,0.72511,1.02571,0.00243,0.58336,0.70421,0.61186,0.52254,0.63831,0.92914,0.00328,0.00097525,0.00097525,0.00097525
17,67.293,0.75213,1.05085,0.00254,0.58336,0.70421,0.61186,0.52254,0.63831,0.92914,0.00328,0.0009736,0.0009736,0.0009736
18,71.0849,0.83055,0.99064,0.00284,0.45166,0.82389,0.65267,0.51256,0.76377,0.75174,0.00369,0.00097195,0.00097195,0.00097195
19,74.5829,0.84852,0.85672,0.0027,0.45166,0.82389,0.65267,0.51256,0.76377,0.75174,0.00369,0.0009703,0.0009703,0.0009703
20,78.1606,0.80889,0.86597,0.00288,0.53929,0.744,0.69206,0.57728,0.64868,0.70105,0.00305,0.00096865,0.00096865,0.00096865
21,81.8533,0.74215,0.83475,0.00246,0.48815,0.90674,0.71881,0.60263,0.64026,0.65011,0.00302,0.000967,0.000967,0.000967
22,85.4622,0.73994,0.7642,0.00222,0.48815,0.90674,0.71881,0.60263,0.64026,0.65011,0.00302,0.00096535,0.00096535,0.00096535
23,89.1524,0.75927,0.85491,0.00271,0.66692,0.64408,0.70603,0.5967,0.62563,0.64279,0.00293,0.0009637,0.0009637,0.0009637
