epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53863,3.31352,5.09067,0.0155,0,0,0,0,2.60064,4.83834,0.01587,0.00018,0.00018,0.00018
2,10.2402,3.20929,4.9928,0.01412,0,0,0,0,2.60396,4.83818,0.01586,0.00036939,0.00036939,0.00036939
3,13.7681,2.94745,4.6844,0.01258,0,0,0,0,2.58126,4.83644,0.01573,0.000558152,0.000558152,0.000558152
4,17.6215,2.97811,4.6496,0.01148,0,0,0,0,2.58126,4.83644,0.01573,0.000746287,0.000746287,0.000746287
5,21.842,2.72698,4.5926,0.01217,0,0,0,0,2.56084,4.85031,0.01565,0.000933796,0.000933796,0.000933796
6,25.8154,2.79137,4.26435,0.01169,0,0,0,0,2.59515,4.92913,0.0175,0.00099175,0.00099175,0.00099175
7,29.7491,2.72494,4.30139,0.01054,0,0,0,0,2.59515,4.92913,0.0175,0.0009901,0.0009901,0.0009901
8,33.5605,2.73354,4.03521,0.01052,0,0,0,0,2.84536,5.0028,0.02012,0.00098845,0.00098845,0.00098845
9,37.4497,2.75502,3.85526,0.01126,0,0,0,0,2.84536,5.0028,0.02012,0.0009868,0.0009868,0.0009868
10,41.0753,2.55665,3.83164,0.01058,0.18284,0.04167,0.01589,0.00358,2.22549,4.31827,0.0144,0.00098515,0.00098515,0.00098515
11,44.766,2.50748,3.76365,0.00972,0,0,0,0,5.24142,13.1116,0.05575,0.0009835,0.0009835,0.0009835
12,48.4539,2.3463,3.40959,0.00911,0,0,0,0,5.24142,13.1116,0.05575,0.00098185,0.00098185,0.00098185
13,52.3267,2.15128,3.06478,0.00821,0,0,0,0,nan,nan,nan,0.0009802,0.0009802,0.0009802
14,56.0939,2.13298,2.79526,0.00776,0,0,0,0,nan,nan,nan,0.00097855,0.00097855,0.00097855
15,59.6707,2.19223,2.74935,0.00896,0,0,0,0,nan,nan,nan,0.0009769,0.0009769,0.0009769
16,63.4327,2.21621,2.89906,0.00924,0,0,0,0,5.78331,6.01753,0.03823,0.00097525,0.00097525,0.00097525
17,67.1369,2.03254,2.86164,0.00798,0,0,0,0,5.78331,6.01753,0.03823,0.0009736,0.0009736,0.0009736
18,70.9111,1.91427,2.5909,0.00736,0,0,0,0,5.06272,5.42138,0.0391,0.00097195,0.00097195,0.00097195
19,74.5895,1.98362,2.58999,0.00707,0,0,0,0,5.06272,5.42138,0.0391,0.0009703,0.0009703,0.0009703
20,78.0531,1.81104,2.4829,0.00711,0.02033,0.14691,0.05686,0.01658,3.70668,4.71409,0.02596,0.00096865,0.00096865,0.00096865
21,81.6724,1.72558,2.25144,0.00586,0.8086,0.08651,0.15141,0.07071,2.88606,3.64323,0.01689,0.000967,0.000967,0.000967
22,85.3739,1.83425,2.38286,0.00661,0.8086,0.08651,0.15141,0.07071,2.88606,3.64323,0.01689,0.00096535,0.00096535,0.00096535
23,89.1512,1.74556,2.50574,0.00717,0.55485,0.34316,0.24722,0.08534,2.38068,2.74675,0.01264,0.0009637,0.0009637,0.0009637
24,92.7389,1.74924,2.16932,0.00593,0.55485,0.34316,0.24722,0.08534,2.38068,2.74675,0.01264,0.00096205,0.00096205,0.00096205
25,96.2546,1.69854,1.94876,0.00541,0.62205,0.34277,0.34649,0.13949,2.02788,2.39874,0.00971,0.0009604,0.0009604,0.0009604
26,99.8897,1.57706,1.82332,0.00502,0.62205,0.34277,0.34649,0.13949,2.02788,2.39874,0.00971,0.00095875,0.00095875,0.00095875
27,103.582,1.57677,1.8829,0.00595,0.52502,0.35883,0.3925,0.21803,1.52556,2.18584,0.00796,0.0009571,0.0009571,0.0009571
28,107.522,1.47626,1.74311,0.00518,0.38646,0.27459,0.42467,0.27572,1.29647,1.95014,0.00683,0.00095545,0.00095545,0.00095545
29,111.403,1.44552,1.90439,0.00566,0.38646,0.27459,0.42467,0.27572,1.29647,1.95014,0.00683,0.0009538,0.0009538,0.0009538
30,115.341,1.47703,1.86115,0.00515,0.39601,0.35738,0.47263,0.31523,1.23312,1.61616,0.0063,0.00095215,0.00095215,0.00095215
31,119.084,1.48797,1.91038,0.00561,0.39601,0.35738,0.47263,0.31523,1.23312,1.61616,0.0063,0.0009505,0.0009505,0.0009505
32,123.042,1.50889,1.79777,0.00497,0.41048,0.45252,0.5314,0.34808,1.21906,1.48082,0.00598,0.00094885,0.00094885,0.00094885
33,126.698,1.4076,1.63013,0.00501,0.372,0.50458,0.53051,0.36147,1.17406,1.36853,0.00561,0.0009472,0.0009472,0.0009472
34,130.149,1.40242,1.58854,0.00452,0.372,0.50458,0.53051,0.36147,1.17406,1.36853,0.00561,0.00094555,0.00094555,0.00094555
35,133.485,1.32864,1.54775,0.00484,0.30071,0.57329,0.53189,0.36343,1.16603,1.39357,0.00571,0.0009439,0.0009439,0.0009439
