epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10555,3.0416,5.95199,0.01028,0,0,0,0,1.77532,5.42131,0.00678,0.00019998,0.00019998,0.00019998
2,10.1694,2.93447,5.79387,0.00931,0,0,0,0,1.74245,5.42154,0.00673,0.000410392,0.000410392,0.000410392
3,14.5759,2.59545,5.37502,0.00801,0,0,0,0,1.70883,5.42223,0.00662,0.000620107,0.000620107,0.000620107
4,18.5028,2.868,5.41093,0.00795,0,0,0,0,1.70883,5.42223,0.00662,0.000829125,0.000829125,0.000829125
5,22.914,2.50351,5.44106,0.00844,0,0,0,0,1.69892,5.42357,0.00656,0.00103745,0.00103745,0.00103745
6,26.8386,2.62704,4.96354,0.00859,0,0,0,0,1.60712,5.39652,0.00632,0.00110183,0.00110183,0.00110183
7,30.6514,2.21953,4.80314,0.0065,0,0,0,0,1.60712,5.39652,0.00632,0.0011,0.0011,0.0011
8,34.5558,2.42606,4.45021,0.00697,0,0,0,0,1.77502,5.3188,0.00666,0.00109817,0.00109817,0.00109817
9,38.5313,2.32927,4.11125,0.00705,0,0,0,0,1.77502,5.3188,0.00666,0.00109633,0.00109633,0.00109633
10,42.3743,2.25874,4.29657,0.00683,0.43665,0.03871,0.03042,0.00854,1.69573,4.15668,0.00658,0.0010945,0.0010945,0.0010945
11,46.1128,2.29376,4.16012,0.00644,0,0,0,0,2.96669,7.62121,0.01337,0.00109267,0.00109267,0.00109267
12,49.8519,2.06658,3.94336,0.00609,0,0,0,0,2.96669,7.62121,0.01337,0.00109084,0.00109084,0.00109084
13,53.2358,2.05293,3.54496,0.00593,0,0,0,0,5.19601,32.3416,0.02088,0.001089,0.001089,0.001089
14,56.5095,2.20189,3.28273,0.0061,0,0,0,0,5.19601,32.3416,0.02088,0.00108717,0.00108717,0.00108717
15,59.846,1.85045,3.13867,0.00544,0.00821,0.07273,0.02847,0.01625,3.67307,5.19813,0.01442,0.00108534,0.00108534,0.00108534
16,63.3674,1.74374,2.9189,0.00517,0.46298,0.16977,0.19424,0.12662,1.68957,3.11418,0.00639,0.0010835,0.0010835,0.0010835
17,66.9473,1.8767,3.29983,0.00555,0.46298,0.16977,0.19424,0.12662,1.68957,3.11418,0.00639,0.00108167,0.00108167,0.00108167
18,70.399,1.69171,2.96533,0.00485,0.51438,0.08624,0.24675,0.1661,1.37208,2.92184,0.0052,0.00107984,0.00107984,0.00107984
19,74.0003,1.6612,2.95883,0.00455,0.51438,0.08624,0.24675,0.1661,1.37208,2.92184,0.0052,0.001078,0.001078,0.001078
20,77.3466,1.54496,2.7163,0.00476,0.37779,0.13796,0.29936,0.20919,1.28483,2.65092,0.00475,0.00107617,0.00107617,0.00107617
21,81.3112,1.50121,2.61012,0.00427,0.25977,0.47094,0.33606,0.22408,1.27048,2.32288,0.0047,0.00107434,0.00107434,0.00107434
22,85.1188,1.6115,2.5349,0.00433,0.25977,0.47094,0.33606,0.22408,1.27048,2.32288,0.0047,0.0010725,0.0010725,0.0010725
23,88.6855,1.52774,2.73222,0.00486,0.30093,0.48851,0.39586,0.25135,1.40058,2.30838,0.00521,0.00107067,0.00107067,0.00107067
24,92.3523,1.50672,2.29473,0.00388,0.30093,0.48851,0.39586,0.25135,1.40058,2.30838,0.00521,0.00106884,0.00106884,0.00106884
25,96.8899,1.6002,2.07255,0.00392,0.47435,0.41193,0.4114,0.29731,1.12615,2.14884,0.00426,0.001067,0.001067,0.001067
26,100.723,1.61044,2.08857,0.00417,0.47435,0.41193,0.4114,0.29731,1.12615,2.14884,0.00426,0.00106517,0.00106517,0.00106517
27,104.371,1.41894,2.26596,0.00415,0.54565,0.41889,0.44539,0.3277,0.99576,1.86226,0.00379,0.00106334,0.00106334,0.00106334
28,107.72,1.32732,2.02319,0.00358,0.607,0.43208,0.47378,0.3163,1.19419,1.7994,0.00433,0.0010615,0.0010615,0.0010615
29,111.125,1.44137,2.24861,0.00433,0.607,0.43208,0.47378,0.3163,1.19419,1.7994,0.00433,0.00105967,0.00105967,0.00105967
30,114.466,1.49328,2.12059,0.00403,0.56951,0.44161,0.47514,0.33478,1.11242,1.78931,0.0041,0.00105784,0.00105784,0.00105784
31,118.127,1.37996,2.14338,0.00386,0.56951,0.44161,0.47514,0.33478,1.11242,1.78931,0.0041,0.00105601,0.00105601,0.00105601
32,121.643,1.29214,1.96985,0.00334,0.53954,0.4856,0.49384,0.38303,0.94182,1.59536,0.00353,0.00105417,0.00105417,0.00105417
33,125.663,1.19383,1.89088,0.00332,0.62691,0.44272,0.4906,0.39571,0.8753,1.59844,0.00336,0.00105234,0.00105234,0.00105234
34,129.413,1.22565,1.98804,0.00317,0.62691,0.44272,0.4906,0.39571,0.8753,1.59844,0.00336,0.00105051,0.00105051,0.00105051
35,132.947,1.18053,1.82223,0.00349,0.51803,0.50182,0.50709,0.38747,0.98907,1.44011,0.00375,0.00104867,0.00104867,0.00104867
36,136.676,1.22681,1.67158,0.00331,0.51803,0.50182,0.50709,0.38747,0.98907,1.44011,0.00375,0.00104684,0.00104684,0.00104684
37,140.314,1.16873,1.7018,0.00317,0.47685,0.51046,0.51683,0.41299,0.89843,1.40758,0.00339,0.00104501,0.00104501,0.00104501
38,144.426,1.28227,1.73724,0.00313,0.44151,0.5409,0.52327,0.42297,0.83934,1.4124,0.00314,0.00104317,0.00104317,0.00104317
39,148.29,1.16864,1.92893,0.00364,0.44151,0.5409,0.52327,0.42297,0.83934,1.4124,0.00314,0.00104134,0.00104134,0.00104134
40,152.558,1.21052,1.69752,0.00325,0.46363,0.49181,0.53553,0.43547,0.81462,1.32214,0.00306,0.00103951,0.00103951,0.00103951
41,156.382,1.28258,1.70439,0.00357,0.46363,0.49181,0.53553,0.43547,0.81462,1.32214,0.00306,0.00103767,0.00103767,0.00103767
42,160.556,1.11384,1.57233,0.003,0.3366,0.65019,0.57607,0.47198,0.82209,1.28134,0.00301,0.00103584,0.00103584,0.00103584
43,164.334,1.13172,1.68908,0.00339,0.3651,0.65839,0.58216,0.46492,0.85935,1.29657,0.00315,0.00103401,0.00103401,0.00103401
44,168.067,1.34938,1.56696,0.00343,0.3651,0.65839,0.58216,0.46492,0.85935,1.29657,0.00315,0.00103217,0.00103217,0.00103217
45,171.859,1.15276,1.53259,0.00318,0.40951,0.66274,0.61947,0.52002,0.76562,1.27371,0.00281,0.00103034,0.00103034,0.00103034
46,175.694,1.25104,1.63871,0.00329,0.40951,0.66274,0.61947,0.52002,0.76562,1.27371,0.00281,0.00102851,0.00102851,0.00102851
47,179.367,1.21302,1.42572,0.00297,0.42455,0.63973,0.64745,0.52996,0.79544,1.29516,0.00289,0.00102668,0.00102668,0.00102668
