epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2273,3.19262,5.91763,0.01069,0,0,0,0,1.81223,5.4265,0.00699,7.777e-05,7.777e-05,7.777e-05
2,12.4895,3.26882,5.7478,0.0106,0,0,0,0,1.81223,5.42714,0.00698,0.000166375,0.000166375,0.000166375
3,15.0409,3.07737,5.64985,0.00995,0,0,0,0,1.81223,5.42748,0.00695,0.000254687,0.000254687,0.000254687
4,16.8599,3.12623,5.48316,0.00926,0,0,0,0,1.80984,5.43064,0.0069,0.000342705,0.000342705,0.000342705
5,18.789,2.74964,5.60597,0.00901,0,0,0,0,1.78791,5.42823,0.00689,0.00043043,0.00043043,0.00043043
6,20.5686,2.76866,5.28645,0.00909,0,0,0,0,1.75371,5.42661,0.00682,0.000517862,0.000517862,0.000517862
7,22.346,2.42993,5.37727,0.00706,0,0,0,0,1.74806,5.42745,0.00679,0.000605001,0.000605001,0.000605001
8,24.5795,2.51798,5.24109,0.0073,0,0,0,0,1.7432,5.4297,0.00677,0.000691846,0.000691846,0.000691846
9,26.5147,2.50644,5.05559,0.00723,0,0,0,0,1.73449,5.42881,0.00677,0.000778398,0.000778398,0.000778398
10,28.2776,2.21719,4.93837,0.00654,0,0,0,0,1.73449,5.42881,0.00677,0.000864656,0.000864656,0.000864656
11,30.079,2.25775,4.62394,0.00625,0,0,0,0,1.75673,5.43099,0.00682,0.000950622,0.000950622,0.000950622
12,31.948,2.19115,4.63272,0.00616,0,0,0,0,1.69185,5.41311,0.00653,0.00103629,0.00103629,0.00103629
13,34.0146,1.92584,4.37879,0.00541,0,0,0,0,1.69185,5.41311,0.00653,0.001089,0.001089,0.001089
14,36.0488,2.08318,4.00856,0.00585,0,0,0,0,1.71627,5.3882,0.00656,0.00108717,0.00108717,0.00108717
15,38.008,1.98208,4.06084,0.00576,0,0,0,0,1.58829,5.30593,0.00617,0.00108534,0.00108534,0.00108534
16,39.7539,1.78679,3.84286,0.00515,0,0,0,0,1.58829,5.30593,0.00617,0.0010835,0.0010835,0.0010835
17,41.6519,1.85983,3.96728,0.00528,0,0,0,0,1.43496,5.18706,0.00568,0.00108167,0.00108167,0.00108167
18,43.6688,1.81555,3.80922,0.00502,0,0,0,0,1.43496,5.18706,0.00568,0.00107984,0.00107984,0.00107984
19,45.3754,1.62879,3.57353,0.00423,0.00141,0.05806,0.00176,0.00051,1.46606,4.89542,0.00591,0.001078,0.001078,0.001078
20,47.16,1.58781,3.50599,0.00465,0.00416,0.18974,0.05734,0.02272,1.26156,4.44495,0.00498,0.00107617,0.00107617,0.00107617
21,48.8289,1.63795,3.21963,0.0043,0.00416,0.18974,0.05734,0.02272,1.26156,4.44495,0.00498,0.00107434,0.00107434,0.00107434
22,50.5514,1.57142,3.14853,0.00425,0.91741,0.07742,0.16454,0.0903,1.09468,3.6444,0.00436,0.0010725,0.0010725,0.0010725
23,52.2726,1.46058,3.35676,0.00432,0.88995,0.13714,0.33897,0.21752,1.08461,3.11703,0.00422,0.00107067,0.00107067,0.00107067
24,53.9677,1.50729,2.8082,0.00383,0.88995,0.13714,0.33897,0.21752,1.08461,3.11703,0.00422,0.00106884,0.00106884,0.00106884
25,55.821,1.56985,2.6022,0.00368,0.7781,0.1308,0.35543,0.22099,1.16883,2.85453,0.0047,0.001067,0.001067,0.001067
26,57.5539,1.51822,2.57695,0.00366,0.7781,0.1308,0.35543,0.22099,1.16883,2.85453,0.0047,0.00106517,0.00106517,0.00106517
27,59.2621,1.4357,2.66813,0.00374,0.48666,0.217,0.3525,0.24832,1.01104,2.68791,0.00403,0.00106334,0.00106334,0.00106334
28,60.94,1.31087,2.51775,0.00345,0.49282,0.26731,0.3015,0.20724,0.96756,2.69581,0.00366,0.0010615,0.0010615,0.0010615
29,62.5621,1.33957,2.72208,0.00396,0.49282,0.26731,0.3015,0.20724,0.96756,2.69581,0.00366,0.00105967,0.00105967,0.00105967
30,64.2556,1.32015,2.35547,0.00341,0.45553,0.44269,0.36707,0.26074,1.02935,2.59286,0.00389,0.00105784,0.00105784,0.00105784
31,65.9374,1.34276,2.61639,0.0036,0.45553,0.44269,0.36707,0.26074,1.02935,2.59286,0.00389,0.00105601,0.00105601,0.00105601
32,67.7349,1.2932,2.32259,0.00333,0.47076,0.41754,0.37519,0.26594,1.09159,2.54818,0.00428,0.00105417,0.00105417,0.00105417
33,69.4784,1.27164,2.43554,0.00352,0.46651,0.40027,0.39556,0.28918,1.1125,2.36948,0.00445,0.00105234,0.00105234,0.00105234
34,71.3941,1.20242,2.12505,0.00289,0.46651,0.40027,0.39556,0.28918,1.1125,2.36948,0.00445,0.00105051,0.00105051,0.00105051
35,73.1826,1.15409,2.25073,0.00333,0.36612,0.45518,0.44036,0.31571,1.12268,2.30467,0.00447,0.00104867,0.00104867,0.00104867
36,75.5237,1.20428,2.04237,0.00306,0.3675,0.381,0.40062,0.29814,1.01889,2.3189,0.004,0.00104684,0.00104684,0.00104684
37,77.1951,1.11743,1.9311,0.00294,0.3675,0.381,0.40062,0.29814,1.01889,2.3189,0.004,0.00104501,0.00104501,0.00104501
38,78.8551,1.25357,2.03571,0.003,0.37692,0.40496,0.36566,0.28085,0.90783,2.32504,0.0035,0.00104317,0.00104317,0.00104317
39,80.4848,1.20149,2.05371,0.00352,0.37692,0.40496,0.36566,0.28085,0.90783,2.32504,0.0035,0.00104134,0.00104134,0.00104134
40,82.1916,1.13604,1.9901,0.00294,0.34037,0.5177,0.45011,0.34655,0.82047,2.13401,0.00307,0.00103951,0.00103951,0.00103951
41,83.8887,1.18597,2.02203,0.00331,0.33714,0.50583,0.52478,0.42642,0.79409,1.88102,0.00296,0.00103767,0.00103767,0.00103767
42,85.5948,1.13991,1.91391,0.00302,0.33714,0.50583,0.52478,0.42642,0.79409,1.88102,0.00296,0.00103584,0.00103584,0.00103584
43,87.4144,1.19038,2.01842,0.00347,0.40609,0.57434,0.5655,0.45843,0.75783,1.66725,0.00288,0.00103401,0.00103401,0.00103401
